2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,대분류,구분,IPC코드
345.0,377.0,331.0,381.0,385.0,564.0,545.0,587.0,608.0,715.0,835.0,988.0,1118.0,1015.0,1194.0,1712.0,1205.0,1065.0,1057.0,1057.0,1102.0,1217.0,1338.0,1649.0,1882,C,C01 무기화학,C01
708.0,794.0,937.0,895.0,732.0,955.0,981.0,1026.0,1117.0,1352.0,1248.0,1360.0,1316.0,1305.0,1172.0,1238.0,1137.0,1200.0,1153.0,1070.0,955.0,879.0,869.0,972.0,1056,C,C02 물; 폐수; 하수 또는 오니(슬러지)의 처리,C02
251.0,296.0,341.0,278.0,334.0,339.0,395.0,384.0,459.0,442.0,565.0,515.0,595.0,689.0,649.0,700.0,616.0,635.0,616.0,613.0,640.0,626.0,512.0,479.0,504,C,C03 유리; 광물 및 슬래그울(Slag wool),C03
552.0,631.0,661.0,680.0,627.0,635.0,616.0,798.0,818.0,807.0,797.0,837.0,913.0,908.0,945.0,829.0,879.0,787.0,941.0,839.0,800.0,910.0,770.0,765.0,715,C,C04 시멘트; 콘크리트; 인조석; 세라믹스; 내화물,C04
130.0,131.0,123.0,95.0,117.0,96.0,100.0,140.0,113.0,145.0,126.0,106.0,155.0,155.0,143.0,155.0,190.0,136.0,154.0,187.0,155.0,181.0,198.0,202.0,159,C,C05 비료; 그 제조,C05
21.0,22.0,21.0,17.0,16.0,15.0,5.0,5.0,5.0,14.0,10.0,13.0,14.0,17.0,8.0,18.0,21.0,21.0,12.0,14.0,1.0,13.0,12.0,15.0,15,C,C06 화학; 성냥,C06
2407.0,2551.0,2557.0,2469.0,2753.0,2979.0,3339.0,3866.0,4116.0,3681.0,3483.0,3606.0,3947.0,4483.0,4338.0,4365.0,4408.0,4796.0,4889.0,5505.0,5765.0,6217.0,6497.0,6582.0,6452,C,C07 유기화학,C07
2038.0,2236.0,2224.0,2407.0,2371.0,2918.0,3145.0,3403.0,3276.0,2950.0,3294.0,3607.0,3658.0,4077.0,4728.0,4570.0,4532.0,4314.0,4559.0,4710.0,5034.0,4977.0,4655.0,4598.0,4276,C,C08 유기고분자 화합물; 그 제조 또는 화학적 가공; 그에 따르는 조성물,C08
1145.0,1226.0,1170.0,1459.0,1592.0,2024.0,1974.0,2164.0,2305.0,2408.0,2572.0,2631.0,2383.0,2844.0,3249.0,3106.0,3177.0,3453.0,3355.0,3235.0,3117.0,3238.0,2722.0,2960.0,2880,C,C09 염료; 페인트; 광택제; 천연수지; 접착제; 여러 가지의 조성물; 재료의 응용,C09
332.0,373.0,350.0,362.0,295.0,340.0,356.0,455.0,572.0,537.0,561.0,678.0,639.0,742.0,782.0,653.0,651.0,580.0,594.0,573.0,484.0,557.0,566.0,731.0,673,C,C10 석유; 가스 및 코크스공업; 일산화탄소를 함유하는 공업가스; 연료; 윤활제; 이탄,C10
201.0,178.0,200.0,171.0,188.0,231.0,224.0,248.0,207.0,241.0,265.0,275.0,242.0,282.0,334.0,325.0,363.0,337.0,348.0,315.0,376.0,314.0,308.0,335.0,271,C,C11 동물성 및 식물성 유지방; 지방성물질 또는 왁스; 그것들로부터 유래된 지방산; 세정제; 양초,C11
1185.0,1285.0,1294.0,1229.0,1323.0,1512.0,1695.0,1980.0,1949.0,2082.0,2299.0,2512.0,2588.0,2906.0,2971.0,3106.0,3216.0,3421.0,3579.0,3683.0,4078.0,4589.0,4806.0,4856.0,4537,C,C12 생화학; 맥주; 주정; 포도주; 미생물학; 효소학; 돌연변이 또는 유전자 공학,C12
3.0,2.0,,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,7.0,2.0,6.0,5.0,6.0,6.0,3.0,2.0,3.0,5.0,,2.0,7.0,1,C,C13 당 공업,C13
561.0,722.0,532.0,342.0,249.0,298.0,305.0,352.0,459.0,516.0,636.0,782.0,783.0,699.0,729.0,504.0,592.0,588.0,389.0,334.0,300.0,301.0,335.0,408.0,289,C,C21 철야금,C21
