application_year,term,tf,df
2016,하단 사이,2,1
2016,하단사이,2,1
2016,고정 체결,1,1
2016,고정 체결 부,1,1
2016,고정체결,1,1
2016,고정체결부,1,1
2016,관련 방법 골프,1,1
2016,관련 방법 골프 커플링,1,1
2016,관련방법골프,1,1
2016,관련방법골프커플링,1,1
2016,리브 하단,1,1
2016,리브 하단 사이,1,1
2016,리브하단,1,1
2016,리브하단사이,1,1
2016,방법 골프,1,1
2016,방법 골프 커플링,1,1
2016,방법 골프 커플링 기구,1,1
2016,방법 도구,1,1
2016,방법골프,1,1
2016,방법골프커플링,1,1
2016,방법골프커플링기구,1,1
2016,방법도구,1,1
2016,삽입 가능,1,1
2016,삽입가능,1,1
2016,슬리브 하단 사이,1,1
2016,슬리브하단사이,1,1
2016,제거 후,1,1
2016,제거후,1,1
2016,젤 내,1,1
2016,젤 보어,1,1
2016,젤 인서트,1,1
2016,젤보어,1,1
2016,젤인서트,1,1
2016,체결 부,1,1
2016,체결부,1,1
2016,호 젤 내,1,1
2016,호 젤 보어,1,1
2016,호 젤 인서트,1,1
2016,호젤내,1,1
2016,호젤보어,1,1
2016,호젤인서트,1,1
2017,기판,132,2
2017,세라믹 층,36,1
2017,세라믹층,36,1
2017,플라스마 생성,36,1
2017,플라스마생성,36,1
2017,생성 공간,29,1
2017,생성공간,29,1
2017,플라스마 생성 공간,29,1
2017,플라스마생성공간,29,1
2017,기판 지,27,1
2017,기판 지 지부,27,1
2017,기판 처리,27,1
2017,기판지,27,1
2017,지 지부,27,1
2017,처리장치,22,1
2017,인서트,21,1
2017,기판 적재,20,1
2017,기판적재,20,1
2017,에지 링,16,1
2017,에지링,16,1
2017,공간 내,12,1
2017,공간내,12,1
2017,기판 처리 공간,11,1
2017,기판 처리 장치,11,1
2017,기판처리공간,11,1
2017,기판처리장치,11,1
2017,처리 공간,11,1
2017,처리공간,11,1
2017,기판 적재 대,10,1
2017,기판적재대,10,1
2017,적재 대,10,1
2017,적재대,10,1
2017,처리 가스,10,1
2017,처리가스,10,1
2017,링 아래,8,1
2017,링아래,8,1
2017,에지 링 아래,8,1
2017,에지링아래,8,1
2017,홈 부,8,1
2017,기판 처리 공간 내,7,1
2017,기판처리공간내,7,1
2017,생성 부,7,1
2017,생성부,7,1
2017,외측 반경,7,1
2017,외측 주변부,7,1
2017,외측반경,7,1
2017,외측주변부,7,1
2017,처리 공간 내,7,1
2017,처리공간내,7,1
2017,플라스마 생성 부,7,1
2017,플라스마생성부,7,1
2017,ii,6,1
2017,면 방향,6,1
2017,면방향,6,1
2017,베이스 플레이트,6,1
2017,베이스플레이트,6,1
2017,세라믹 층 상,6,1
2017,세라믹층상,6,1
2017,층 상,6,1
2017,프로세싱시스템,6,1
2017,반응 종,5,1
2017,반응종,5,1
2017,생성 공간 내,5,1
2017,생성공간내,5,1
2017,플라스마 밀도,5,1
2017,플라스마 생성 공간 내,5,1
2017,플라스마밀도,5,1
2017,플라스마생성공간내,5,1
2017,outer,4,1
2017,perimeter,4,1
2017,기판 적재 대 승강,4,1
2017,기판 처리 실,4,1
2017,기판적재대승강,4,1
2017,기판처리실,4,1
2017,대 승강,4,1
2017,대 승강 부,4,1
2017,대승강,4,1
2017,대승강부,4,1
2017,반도체장치,4,1
2017,부 내,4,1
2017,상부 표면,4,1
2017,상부표면,4,1
2017,세라믹재료,4,1
2017,승강 부,4,1
2017,승강부,4,1
2017,의 외측,4,1
2017,의 외측 반경,4,1
2017,의외측,4,1
2017,의외측반경,4,1
2017,적재 대 승강,4,1
2017,적재 대 승강 부,4,1
2017,적재대승강,4,1
2017,적재대승강부,4,1
2017,제조방법,4,1
2017,주파 전력,4,1
2017,주파전력,4,1
2017,처리 실,4,1
2017,처리실,4,1
2017,홈 부 내,4,1
2017,홈부내,4,1
2017,기판 프로세싱,3,1
2017,기판 프로세싱 시스템,3,1
2017,기판 프로세싱 시스템 내,3,1
2017,기판프로세싱시스템,3,1
2017,기판프로세싱시스템내,3,1
2017,시스템 내,3,1
2017,시스템내,3,1
2017,제거 가능,3,1
2017,제거가능,3,1
2017,프로세싱 시스템 내,3,1
2017,프로세싱시스템내,3,1
2017,annular,2,1
2017,groove,2,1
2017,insert,2,1
2017,outer perimeter,2,1
2017,outerperimeter,2,1
2017,가스 공급,2,1
2017,가스 공급 부,2,1
2017,가스공급,2,1
2017,가스공급부,2,1
2017,결합구조,2,1
2017,고주파 전력,2,1
2017,고주파전력,2,1
2017,공급 부,2,1
2017,공급부,2,1
2017,권 회,2,1
2017,기 판,2,1
2017,기판 아래,2,1
2017,기판 지지부,2,1
2017,기판 처리 실 과,2,1
2017,기판 처리 실 내,2,1
2017,기판아래,2,1
2017,기판처리실과,2,1
2017,기판처리실내,2,1
2017,내측 주변부,2,1
2017,내측주변부,2,1
2017,반도체,2,1
2017,방사상 외부,2,1
2017,방사상외부,2,1
2017,베이스 플레이트 상,2,1
2017,베이스플레이트상,2,1
2017,변동 량,2,1
2017,변동량,2,1
2017,부분 사이,2,1
2017,부분사이,2,1
2017,실 과,2,1
2017,실 내,2,1
2017,오프셋,2,1
2017,외측 주변부 둘레,2,1
2017,외측주변부둘레,2,1
2017,정수 배,2,1
2017,정수배,2,1
2017,제어 부,2,1
2017,제어부,2,1
2017,제작 변동,2,1
2017,제작 변동 량,2,1
2017,제작변동,2,1
2017,제작변동량,2,1
2017,주변부 둘레,2,1
2017,주변부둘레,2,1
2017,지부기판,2,1
2017,직경 d,2,1
2017,직경d,2,1
2017,처리 실 과,2,1
2017,처리 실 내,2,1
2017,처리실과,2,1
2017,처리실내,2,1
2017,컷 아웃,2,1
2017,컷아웃,2,1
2017,플레이트 상,2,1
2017,플레이트상,2,1
2017,합 이상,2,1
2017,합이상,2,1
2017,annular groove,1,1
2017,annulargroove,1,1
2017,균일 도,1,1
2017,균일도,1,1
2017,기록 매체,1,1
2017,기록매체,1,1
2017,기판 지 지부 기판,1,1
2017,기판지지부기판,1,1
2017,내 균일,1,1
2017,내균일,1,1
2017,내측 반경,1,1
2017,내측반경,1,1
2017,면 내,1,1
2017,면 내 균일,1,1
2017,면 상,1,1
2017,면내균일,1,1
2017,배 인,1,1
2017,베이스 플레이트 위,1,1
2017,베이스플레이트위,1,1
2017,외측 에지,1,1
2017,외측에지,1,1
2017,유도 결합,1,1
2017,유도 결합 구조,1,1
2017,유도결합구조,1,1
2017,전극,1,1
2017,정수 배 인,1,1
2017,정수배인,1,1
2017,지 지부 기판,1,1
2017,지 지부 기판 프로세싱,1,1
2017,지부 기판 프로세싱,1,1
2017,지부 기판 프로세싱 시스템,1,1
2017,지부기판프로세싱시스템,1,1
2017,지지부기판,1,1
2017,지지부기판프로세싱,1,1
2017,컴퓨터,1,1
2017,프로그램 플라스마,1,1
2017,프로그램 플라스마 생성,1,1
2017,프로그램 플라스마 생성 공간,1,1
2017,프로그램플라스마,1,1
2017,프로그램플라스마생성,1,1
2017,프로그램플라스마생성공간,1,1
2017,프로세스 균일,1,1
2017,프로세스 균일 도,1,1
2017,프로세스균일,1,1
2017,프로세스균일도,1,1
2017,플레이트 위,1,1
2017,플레이트위,1,1
2017,하단 사이,1,1
2017,하단사이,1,1
2018,lgic,231,1
2018,ipd,93,1
2018,nachr,93,1
2018,아미노산 치환,87,1
2018,아미노산치환,87,1
2018,lbd,68,1
2018,간 드,61,1
2018,리 간,61,1
2018,리 간 드,61,1
2018,lgic.,59,1
2018,세포,50,2
2018,nachr lbd,36,1
2018,nachrlbd,36,1
2018,서열 식별,33,1
2018,서열 식별 번호,33,1
2018,서열식별,33,1
2018,서열식별번호,33,1
2018,식별 번호,33,1
2018,식별번호,33,1
2018,gaba,24,1
2018,약제 학,22,2
2018,약제학,22,2
2018,glyr,22,1
2018,합성 핵산,22,1
2018,합성 핵산 구축물,22,1
2018,합성핵산,22,1
2018,합성핵산구축물,22,1
2018,핵산 구축물,22,1
2018,핵산구축물,22,1
2018,삭제 삭제,20,1
2018,삭제삭제,20,1
2018,삭제 삭제 삭제,19,1
2018,삭제삭제삭제,19,1
2018,lgic리간드,18,1
2018,노 난,18,1
