ipc_prefix,term,tf,df
A01,냉난방수순환,9,1
A01,복지 지표,9,1
A01,복지지표,9,1
A01,수 공급,9,1
A01,수공급,9,1
A01,열 수,9,1
A01,유전자 변형,9,1
A01,유전자변형,9,1
A01,자율 제어 양식 방법,9,1
A01,자율제어양식방법,9,1
A01,제어 양식 방법,9,1
A01,제어양식방법,9,1
A01,조절 부재,9,1
A01,조절부재,9,1
A01,지열 공급,9,1
A01,지열공급,9,1
A01,동력 전달,8,2
A01,동력전달,8,2
A01,차원모델,8,2
A01,ai 모델,8,1
A01,ai모델,8,1
A01,es,8,1
A01,공기 흡입,8,1
A01,공기 히트,8,1
A01,공기 히트 펌프,8,1
A01,공기흡입,8,1
A01,공기히트,8,1
A01,공기히트펌프,8,1
A01,교환 수,8,1
A01,교환수,8,1
A01,대리모,8,1
A01,디지털 트윈,8,1
A01,디지털트윈,8,1
A01,비전 검사,8,1
A01,비전 검사 장치,8,1
A01,비전검사장치,8,1
A01,상층 공기 흡입,8,1
A01,상층공기흡입,8,1
A01,수 공급 라인,8,1
A01,수공급라인,8,1
A01,열 교환 수,8,1
A01,열교환수,8,1
A01,예측 불확실,8,1
A01,예측 불확실 도,8,1
A01,예측모델,8,1
A01,예측불확실,8,1
A01,예측불확실도,8,1
A01,외부 서버,8,1
A01,외부서버,8,1
A01,유전자 내,8,1
A01,유전자내,8,1
A01,통로장치,8,1
A01,aav,7,1
A01,rna 중,7,1
A01,rna중,7,1
A01,가이드 rna 중,7,1
A01,가이드rna중,7,1
A01,개폐 도어,7,1
A01,개폐도어,7,1
A01,공기 흡입 덕,7,1
A01,공기흡입덕,7,1
A01,균 주,7,1
A01,기반 시뮬레이션,7,1
A01,냉난방 수 순환,7,1
A01,냉난방 수 순환 라인,7,1
A01,냉난방수순환라인,7,1
A01,변위 조절,7,1
A01,변위조절,7,1
A01,복합체,7,1
A01,상층 공기 흡입 덕,7,1
A01,상층공기흡입덕,7,1
A01,수질 지표,7,1
A01,수질지표,7,1
A01,에너지 비용,7,1
A01,에너지비용,7,1
A01,종 동,7,1
A01,지열 공,7,1
A01,지열공,7,1
A01,지열회수,7,1
A01,표적 유전자 내,7,1
A01,표적유전자내,7,1
A01,활성 cas,7,1
A01,활성 cas 단백질,7,1
A01,활성cas,7,1
A01,활성cas단백질,7,1
A01,흡입 덕,7,1
A01,흡입덕,7,1
A01,key,6,1
A01,key-point,6,1
A01,mrna,6,1
A01,paenibacillus,6,1
A01,point,6,1
A01,rna 르,6,1
A01,rna르,6,1
A01,wf,6,1
A01,wf1,6,1
A01,가이드 rna 르,6,1
A01,가이드rna르,6,1
A01,가중 융합,6,1
A01,가중융합,6,1
A01,게놈 내,6,1
A01,게놈내,6,1
A01,광학장치,6,1
A01,기반 시뮬레이션 모델,6,1
A01,기반시뮬레이션모델,6,1
A01,냉 조,6,1
A01,대조 군,6,1
A01,대조군,6,1
A01,도 가중,6,1
A01,도가중,6,1
A01,동력 전달 부재,6,1
A01,동력전달부재,6,1
A01,동물 게놈,6,1
A01,동물게놈,6,1
A01,모터 지지,6,1
A01,모터 지지 판,6,1
A01,모터지지,6,1
A01,모터지지판,6,1
A01,물리 기반,6,1
A01,물리 기반 시뮬레이션,6,1
A01,물리 기반 시뮬레이션 모델,6,1
A01,물리기반,6,1
A01,물리기반시뮬레이션모델,6,1
A01,불확실 도 가중,6,1
A01,불확실도가중,6,1
A01,살포장치,6,1
A01,선택 밸브,6,1
A01,선택밸브,6,1
A01,인간 동물 게놈,6,1
A01,인간동물게놈,6,1
A01,작동장치,6,1
A01,전달 부재,6,1
A01,전달부재,6,1
A01,지지 판,6,1
A01,지지판,6,1
A01,축 냉,6,1
A01,축 냉 조,6,1
A01,축냉조,6,1
A01,통로 공간,6,1
A01,통로공간,6,1
A01,환경 데이터,6,1
A01,환경데이터,6,1
A01,공급 기,5,2
A01,공급기,5,2
A01,crispr 관련,5,1
A01,crispr관련,5,1
A01,f0,5,1
A01,point 탐지,5,1
A01,point 탐지 부,5,1
A01,point탐지,5,1
A01,point탐지부,5,1
A01,가중 융합 자율,5,1
A01,가중 융합 자율 제어,5,1
A01,가중융합자율,5,1
A01,가중융합자율제어,5,1
A01,개폐 모듈 박스,5,1
A01,개폐모듈박스,5,1
A01,공기 배기,5,1
A01,공기 배기 포트,5,1
A01,공기배기,5,1
A01,공기배기포트,5,1
A01,권 취,5,1
A01,기반 불확실,5,1
A01,기반 불확실 도,5,1
A01,기반 불확실 도 가중,5,1
A01,기반불확실,5,1
A01,기반불확실도,5,1
A01,기반불확실도가중,5,1
A01,냉난방 수 회수,5,1
A01,냉난방 수 회수 라인,5,1
A01,냉난방수회수,5,1
A01,냉난방수회수라인,5,1
A01,대 내,5,1
A01,도 가중 융합,5,1
A01,도 가중 융합 자율,5,1
A01,도가중융합,5,1
A01,도가중융합자율,5,1
A01,동 풀,5,1
A01,동 풀 리,5,1
A01,동풀리,5,1
A01,디지털 트윈 기반,5,1
A01,디지털 트윈 기반 불확실,5,1
A01,디지털트윈기반,5,1
A01,디지털트윈기반불확실,5,1
A01,모듈 박스,5,1
A01,모듈박스,5,1
A01,배기 포트,5,1
A01,배기포트,5,1
A01,불확실 도 가중 융합,5,1
A01,불확실도가중융합,5,1
